student_id,department,year_of_study,gpa,midterm_score,attendance_percentage,library_checkout_count,canteen_peak_visit_time,campus_wifi_hours_night,assignment_submit_delay_hours,lab_attendance_8am
STU2026278,Civil Eng,3,8.28,57.9,88.7,22,12:30-13:30,6.1,19.4,38.4
STU2026279,Information Tech,1,9.74,99.0,95.2,23,12:30-13:30,1.4,2.1,95.0
STU2026280,Civil Eng,1,5.57,50.5,57.9,18,13:30-14:30,2.3,-32.8,71.2
STU2026281,Information Tech,4,7.32,52.2,72.3,4,11:30-12:30,5.0,-20.9,48.8
STU2026282,Electronics & Comm,2,7.81,49.0,71.8,24,11:30-12:30,4.9,-24.8,59.2
STU2026283,Electronics & Comm,1,6.55,60.0,94.8,23,12:30-13:30,1.3,25.4,87.8
STU2026284,Computer Science,1,8.54,86.5,85.2,25,13:30-14:30,1.6,-34.3,97.6
STU2026285,Mechanical Eng,2,8.72,54.3,92.6,15,12:30-13:30,5.6,6.2,34.1
STU2026286,Computer Science,3,8.56,84.3,79.8,33,12:30-13:30,1.0,1.8,83.2
STU2026287,Electronics & Comm,3,8.83,57.8,93.5,2,11:30-12:30,5.2,-35.0,34.0
STU2026288,Civil Eng,3,7.15,44.6,61.5,25,14:30-15:30,7.0,-13.2,60.0
STU2026289,Electronics & Comm,3,6.57,68.0,94.4,23,11:30-12:30,2.7,-0.2,94.0
STU2026290,Electronics & Comm,2,8.96,63.1,97.2,11,12:30-13:30,7.2,8.4,32.4
STU2026291,Information Tech,4,5.53,35.0,63.6,20,12:30-13:30,4.4,34.8,40.6
STU2026292,Electronics & Comm,2,6.15,64.8,95.1,2,12:30-13:30,0.7,34.0,85.7
STU2026293,Computer Science,4,9.15,88.2,86.3,3,12:30-13:30,1.2,34.9,85.4
STU2026294,Electronics & Comm,3,5.9,35.0,94.6,25,12:30-13:30,6.8,-1.5,48.2
STU2026295,Computer Science,2,8.24,53.3,72.0,24,11:30-12:30,4.6,-34.2,32.2
STU2026296,Mechanical Eng,4,8.51,79.5,86.6,20,12:30-13:30,2.7,-0.5,77.9
STU2026297,Computer Science,2,7.43,79.4,68.5,29,12:30-13:30,1.3,5.9,80.4
STU2026298,Computer Science,1,6.18,43.1,84.5,12,13:30-14:30,6.3,-40.1,54.4
STU2026299,Electronics & Comm,3,7.2,68.2,57.1,16,14:30-15:30,2.6,-18.5,93.8
STU2026300,Information Tech,2,5.91,40.2,59.4,22,13:30-14:30,6.1,-41.1,34.3
STU2026301,Civil Eng,3,8.45,91.6,95.3,4,11:30-12:30,1.1,-37.5,87.0
STU2026302,Civil Eng,2,5.9,35.0,91.4,20,11:30-12:30,6.2,-25.0,34.3
STU2026303,Civil Eng,4,5.63,53.0,84.4,6,12:30-13:30,1.7,-3.6,76.2
STU2026304,Information Tech,2,8.28,62.3,76.5,28,12:30-13:30,6.7,3.2,46.8
STU2026305,Information Tech,2,8.21,51.3,89.5,32,12:30-13:30,6.1,27.0,64.6
STU2026306,Mechanical Eng,3,7.17,78.7,62.7,3,13:30-14:30,2.7,-5.1,76.4
STU2026307,Civil Eng,3,8.8,58.7,98.0,25,12:30-13:30,7.3,-2.7,33.5
STU2026308,Electronics & Comm,4,7.03,42.9,91.1,24,13:30-14:30,6.4,-29.0,36.2
STU2026309,Information Tech,1,8.52,51.7,70.1,17,13:30-14:30,4.5,-19.3,35.0
STU2026310,Electronics & Comm,4,5.66,35.0,57.4,21,12:30-13:30,4.7,3.3,30.7
STU2026311,Electronics & Comm,3,8.58,66.2,94.5,6,12:30-13:30,6.4,26.7,41.3
STU2026312,Information Tech,3,9.63,75.0,71.1,19,12:30-13:30,7.1,35.0,43.8
STU2026313,Civil Eng,4,8.29,49.8,62.5,9,13:30-14:30,7.3,-12.7,54.3
STU2026314,Electronics & Comm,4,6.82,76.1,84.6,14,14:30-15:30,1.4,-2.9,91.1
STU2026315,Information Tech,1,6.28,35.1,68.7,17,11:30-12:30,6.2,-40.5,51.4
STU2026316,Computer Science,2,6.99,39.1,68.7,38,12:30-13:30,5.0,31.4,63.7
STU2026317,Civil Eng,1,6.64,61.7,65.7,14,11:30-12:30,1.0,-24.8,77.4
STU2026318,Civil Eng,2,9.3,87.7,76.2,20,12:30-13:30,3.2,21.7,85.8
STU2026319,Electronics & Comm,2,7.44,71.8,89.4,12,11:30-12:30,0.7,-39.0,70.6
STU2026320,Civil Eng,2,8.65,58.3,78.5,17,12:30-13:30,6.8,23.9,33.3
STU2026321,Civil Eng,2,8.11,89.1,73.7,19,12:30-13:30,0.9,24.6,79.6
STU2026322,Information Tech,3,8.34,85.0,67.8,16,12:30-13:30,1.2,9.8,81.4
STU2026323,Civil Eng,1,6.77,48.9,83.5,11,11:30-12:30,4.7,3.8,37.0
STU2026324,Civil Eng,1,6.83,48.5,72.1,7,12:30-13:30,3.9,10.2,53.1
STU2026325,Civil Eng,3,6.3,35.0,56.9,6,12:30-13:30,3.6,25.8,39.2
STU2026326,Computer Science,1,8.37,80.4,89.8,14,11:30-12:30,3.4,-4.6,91.9
STU2026327,Civil Eng,4,7.96,85.8,65.1,20,11:30-12:30,2.6,-0.3,81.4
STU2026328,Information Tech,2,6.02,68.6,87.6,19,13:30-14:30,1.7,-45.7,98.5
STU2026329,Computer Science,4,6.37,62.2,90.4,4,13:30-14:30,1.5,-43.4,87.3
STU2026330,Information Tech,4,7.87,59.6,91.8,20,13:30-14:30,4.1,-20.3,62.1
STU2026331,Civil Eng,1,7.28,40.1,61.4,20,14:30-15:30,4.6,-6.7,56.5
STU2026332,Mechanical Eng,3,9.27,66.0,66.4,14,11:30-12:30,5.1,-40.4,50.0
STU2026333,Information Tech,4,5.67,61.8,93.3,13,14:30-15:30,2.8,-46.9,76.9
STU2026334,Mechanical Eng,3,6.71,35.7,76.1,25,11:30-12:30,5.4,-24.5,33.4
STU2026335,Mechanical Eng,3,8.63,93.3,81.0,17,12:30-13:30,1.1,26.1,82.8
STU2026336,Mechanical Eng,1,7.72,72.7,61.8,20,13:30-14:30,2.7,-46.5,84.7
STU2026337,Electronics & Comm,2,9.1,60.9,65.7,16,12:30-13:30,3.7,15.7,62.1
STU2026338,Computer Science,1,6.54,40.0,76.0,13,12:30-13:30,3.6,1.7,63.6
STU2026339,Mechanical Eng,1,6.73,75.4,71.6,22,13:30-14:30,1.6,-36.1,86.6
STU2026340,Electronics & Comm,3,8.3,53.6,77.1,6,12:30-13:30,6.6,21.5,63.8
STU2026341,Information Tech,1,6.46,35.7,81.2,14,12:30-13:30,7.1,29.9,54.9
STU2026342,Civil Eng,3,6.44,37.4,68.0,23,11:30-12:30,4.1,3.2,51.8
STU2026343,Mechanical Eng,3,6.78,71.1,59.6,10,13:30-14:30,0.9,-13.2,98.7
STU2026344,Mechanical Eng,2,6.14,35.0,87.9,23,12:30-13:30,6.8,8.1,58.2
STU2026345,Electronics & Comm,1,8.32,82.4,97.9,24,11:30-12:30,2.3,4.7,82.1
STU2026346,Electronics & Comm,3,8.62,53.3,64.6,18,12:30-13:30,4.2,7.3,57.5
STU2026347,Electronics & Comm,2,6.76,40.8,75.2,23,14:30-15:30,5.7,-0.3,55.4
STU2026348,Computer Science,2,7.03,68.9,87.0,24,12:30-13:30,2.6,14.0,92.9
STU2026349,Computer Science,4,5.73,35.0,82.3,5,11:30-12:30,4.6,-2.0,51.7
STU2026350,Civil Eng,3,7.28,71.5,92.4,16,14:30-15:30,1.6,-40.4,98.8
STU2026351,Electronics & Comm,1,7.6,69.6,82.1,7,12:30-13:30,1.7,18.6,88.4
STU2026352,Electronics & Comm,4,8.88,88.5,88.5,17,12:30-13:30,1.4,10.7,82.6
STU2026353,Computer Science,2,8.64,59.1,95.9,15,11:30-12:30,6.7,-14.8,56.5
STU2026354,Electronics & Comm,2,8.48,86.9,69.8,3,11:30-12:30,1.4,-32.2,81.1
STU2026355,Mechanical Eng,4,8.63,94.5,80.6,17,12:30-13:30,2.9,9.7,95.8
STU2026356,Electronics & Comm,2,9.58,99.8,94.5,25,11:30-12:30,3.3,-46.8,76.6
STU2026357,Information Tech,2,6.03,35.0,85.6,34,13:30-14:30,6.0,-45.4,43.1
STU2026358,Computer Science,1,8.31,58.2,55.8,17,12:30-13:30,5.3,23.8,44.6
STU2026359,Electronics & Comm,1,6.79,40.4,83.5,5,11:30-12:30,5.1,-20.9,39.4
STU2026360,Information Tech,1,6.72,37.2,88.7,8,13:30-14:30,4.0,-29.0,51.3
STU2026361,Civil Eng,3,6.19,36.6,78.6,2,12:30-13:30,6.9,22.5,54.1
STU2026362,Computer Science,4,6.14,41.8,58.9,9,12:30-13:30,4.1,13.7,55.3
STU2026363,Mechanical Eng,3,7.5,72.9,59.3,12,13:30-14:30,1.7,-25.4,71.1
STU2026364,Computer Science,1,9.16,94.5,93.3,16,12:30-13:30,0.6,34.2,74.0
STU2026365,Mechanical Eng,1,7.1,71.4,69.7,24,13:30-14:30,1.3,-2.9,81.6
STU2026366,Civil Eng,2,5.99,56.1,84.9,20,12:30-13:30,0.9,14.8,97.3
STU2026367,Information Tech,4,6.28,66.8,71.3,6,13:30-14:30,3.0,-22.4,70.8
STU2026368,Civil Eng,1,9.32,86.5,73.9,18,13:30-14:30,0.9,-7.3,89.0
STU2026369,Information Tech,2,9.7,100.0,83.8,36,11:30-12:30,2.9,-9.5,85.2
STU2026370,Civil Eng,3,8.35,90.2,82.6,2,12:30-13:30,1.5,21.4,94.0
STU2026371,Electronics & Comm,4,9.16,88.4,92.4,3,14:30-15:30,1.0,-21.1,84.3
STU2026372,Information Tech,4,7.23,47.0,65.1,16,13:30-14:30,3.7,-31.2,58.0
STU2026373,Civil Eng,1,5.94,40.1,72.7,21,12:30-13:30,4.4,21.1,30.0
STU2026374,Information Tech,2,8.31,88.7,74.6,25,13:30-14:30,2.9,-18.3,93.9
STU2026375,Information Tech,4,8.58,56.6,70.6,13,11:30-12:30,3.7,-4.0,33.4
STU2026376,Mechanical Eng,3,8.52,89.2,57.0,5,13:30-14:30,1.6,-34.5,74.1
STU2026377,Electronics & Comm,2,6.02,56.9,91.6,15,12:30-13:30,2.0,-3.1,93.9
STU2026378,Information Tech,1,8.82,66.8,74.4,18,12:30-13:30,5.1,25.2,63.5
STU2026379,Information Tech,4,9.11,68.9,75.8,25,12:30-13:30,4.1,28.4,62.2
STU2026380,Computer Science,4,8.33,82.9,81.1,24,12:30-13:30,2.8,26.3,95.6
STU2026381,Mechanical Eng,4,9.64,70.4,96.7,25,13:30-14:30,3.7,-20.8,34.7
STU2026382,Information Tech,3,8.56,57.0,95.2,26,12:30-13:30,4.9,32.8,37.0
STU2026383,Electronics & Comm,2,7.67,75.4,84.9,20,12:30-13:30,2.8,33.6,73.3
STU2026384,Civil Eng,3,9.27,91.6,73.2,3,11:30-12:30,0.6,-37.4,73.1
STU2026385,Electronics & Comm,3,8.44,80.8,61.3,13,12:30-13:30,0.9,28.4,92.7
STU2026386,Computer Science,2,8.69,92.1,79.1,36,12:30-13:30,2.2,-3.1,92.7
STU2026387,Civil Eng,4,7.29,53.4,88.9,8,13:30-14:30,5.3,-15.1,63.8
STU2026388,Civil Eng,2,9.42,66.3,85.3,25,12:30-13:30,5.0,34.5,56.4
STU2026389,Mechanical Eng,4,6.26,64.1,84.4,15,12:30-13:30,1.8,6.4,75.0
STU2026390,Mechanical Eng,2,6.19,69.7,91.4,12,11:30-12:30,0.5,-16.4,83.5
STU2026391,Information Tech,3,7.61,74.3,79.6,20,12:30-13:30,3.0,16.3,92.7
STU2026392,Information Tech,2,7.29,69.6,78.1,26,12:30-13:30,1.1,7.0,76.4
STU2026393,Information Tech,4,9.79,68.0,90.4,22,12:30-13:30,7.4,20.2,30.3
STU2026394,Information Tech,2,9.62,100.0,84.3,32,12:30-13:30,2.7,24.7,96.6
STU2026395,Computer Science,3,7.71,48.5,76.9,17,12:30-13:30,3.9,33.9,40.4
STU2026396,Electronics & Comm,1,8.2,52.6,64.1,8,13:30-14:30,4.9,-19.5,37.5
STU2026397,Civil Eng,1,8.71,66.4,61.6,10,11:30-12:30,3.7,-18.4,41.6
STU2026398,Information Tech,2,9.42,69.7,72.5,18,12:30-13:30,3.7,16.9,44.2
STU2026399,Information Tech,1,8.75,54.2,80.2,23,11:30-12:30,5.4,-32.0,32.5
STU2026400,Computer Science,3,8.79,88.3,73.8,19,12:30-13:30,3.3,25.6,89.2
STU2026401,Information Tech,3,9.63,64.6,61.2,26,13:30-14:30,5.2,2.7,62.0
STU2026402,Computer Science,2,6.03,35.0,55.2,38,12:30-13:30,4.7,25.4,48.8
STU2026403,Mechanical Eng,2,7.27,50.8,82.8,8,13:30-14:30,4.1,-41.9,35.6
STU2026404,Information Tech,1,9.16,63.8,95.1,4,12:30-13:30,7.5,5.3,46.1
STU2026405,Electronics & Comm,4,9.59,71.8,70.4,8,11:30-12:30,5.2,-31.2,38.2
STU2026406,Civil Eng,3,8.15,57.0,68.1,15,12:30-13:30,4.6,1.9,49.8
STU2026407,Mechanical Eng,2,8.88,64.0,85.6,12,12:30-13:30,5.0,31.0,39.7
STU2026408,Civil Eng,4,7.04,42.8,68.1,6,13:30-14:30,4.4,-0.8,36.2
STU2026409,Electronics & Comm,3,8.65,54.4,81.9,20,12:30-13:30,5.6,18.7,61.2
STU2026410,Information Tech,2,9.4,67.2,78.7,26,13:30-14:30,4.3,-27.2,65.0
STU2026411,Information Tech,3,6.08,54.7,76.5,45,12:30-13:30,1.1,28.1,80.6
STU2026412,Information Tech,2,8.76,89.3,61.0,19,13:30-14:30,1.6,-9.0,86.4
STU2026413,Civil Eng,3,5.67,54.1,87.7,18,12:30-13:30,2.1,32.2,77.7
STU2026414,Mechanical Eng,4,7.52,73.6,74.5,18,13:30-14:30,0.8,-14.4,98.4
STU2026415,Mechanical Eng,3,7.99,82.1,79.5,4,13:30-14:30,3.1,-20.6,81.0
STU2026416,Civil Eng,2,7.72,51.1,70.2,18,12:30-13:30,6.6,31.2,47.0
STU2026417,Civil Eng,2,6.49,61.0,77.1,5,12:30-13:30,2.5,22.1,74.4
STU2026418,Civil Eng,3,8.6,64.3,75.7,2,13:30-14:30,3.9,-35.1,37.4
STU2026419,Electronics & Comm,2,6.08,40.3,77.0,18,14:30-15:30,6.7,2.8,35.1
STU2026420,Information Tech,1,9.28,69.9,86.3,17,12:30-13:30,6.2,30.6,63.2
STU2026421,Electronics & Comm,2,9.07,68.4,80.8,10,12:30-13:30,6.1,1.9,58.7
STU2026422,Mechanical Eng,4,8.07,74.3,58.0,18,12:30-13:30,3.1,23.1,73.8
STU2026423,Electronics & Comm,1,6.26,36.5,93.8,4,13:30-14:30,4.7,-22.4,60.7
STU2026424,Electronics & Comm,1,9.36,68.4,88.3,18,11:30-12:30,5.0,-25.3,48.3
STU2026425,Civil Eng,4,7.01,43.0,89.6,10,12:30-13:30,6.9,14.6,59.3
STU2026426,Electronics & Comm,1,6.72,71.5,92.7,20,13:30-14:30,3.4,-20.3,75.5
STU2026427,Information Tech,1,7.11,50.9,63.8,20,12:30-13:30,6.1,5.4,44.3
STU2026428,Information Tech,4,7.93,57.3,81.3,19,12:30-13:30,7.4,14.8,43.9
STU2026429,Mechanical Eng,4,6.59,70.6,68.2,23,13:30-14:30,2.9,-41.7,90.5
STU2026430,Electronics & Comm,4,8.87,93.7,95.8,21,13:30-14:30,1.2,-11.1,84.7
STU2026431,Computer Science,2,7.17,46.0,82.3,17,12:30-13:30,6.1,-2.4,58.8
STU2026432,Electronics & Comm,3,5.84,61.4,56.6,24,12:30-13:30,3.2,34.5,98.5
STU2026433,Computer Science,2,8.25,87.9,73.9,16,12:30-13:30,1.9,27.1,89.0
STU2026434,Information Tech,2,8.15,89.5,84.0,23,11:30-12:30,3.0,-6.7,89.0
STU2026435,Mechanical Eng,4,7.24,79.7,63.6,25,12:30-13:30,0.6,29.0,90.4
STU2026436,Information Tech,3,6.99,70.3,90.1,15,12:30-13:30,2.1,5.7,97.9
STU2026437,Civil Eng,1,7.9,80.1,76.6,19,12:30-13:30,2.9,28.3,73.4
STU2026438,Information Tech,3,8.49,54.3,96.5,29,14:30-15:30,4.4,-11.9,56.9
STU2026439,Information Tech,1,7.57,72.5,66.1,12,13:30-14:30,3.2,-26.1,92.9
STU2026440,Mechanical Eng,1,8.51,89.6,66.3,19,12:30-13:30,2.5,33.2,81.6
STU2026441,Civil Eng,3,7.02,74.0,93.5,17,14:30-15:30,2.4,-8.9,97.5
STU2026442,Electronics & Comm,2,9.25,94.9,63.9,5,11:30-12:30,1.9,-41.6,77.2
STU2026443,Computer Science,4,8.14,55.1,87.9,17,12:30-13:30,4.3,31.8,31.5
STU2026444,Information Tech,3,7.61,54.0,97.3,16,12:30-13:30,6.9,16.6,39.8
STU2026445,Civil Eng,4,9.54,100.0,56.4,5,12:30-13:30,2.9,23.6,95.0
STU2026446,Civil Eng,3,8.46,82.8,55.5,10,12:30-13:30,2.0,2.7,86.8
STU2026447,Mechanical Eng,2,6.66,66.6,96.2,13,12:30-13:30,2.9,10.0,75.3
STU2026448,Civil Eng,3,7.44,43.5,79.6,9,13:30-14:30,7.4,-18.6,54.0
STU2026449,Civil Eng,2,6.13,57.7,96.2,22,12:30-13:30,1.5,16.2,93.4
STU2026450,Mechanical Eng,4,6.79,39.1,79.2,10,11:30-12:30,4.5,-22.7,43.9
STU2026451,Computer Science,4,8.7,92.4,66.2,15,12:30-13:30,3.0,-0.0,86.2
STU2026452,Information Tech,2,7.98,56.5,82.9,31,12:30-13:30,4.3,15.0,64.3
STU2026453,Civil Eng,1,7.14,50.3,67.3,12,13:30-14:30,4.9,-25.6,35.1
STU2026454,Information Tech,4,9.15,89.4,58.1,10,12:30-13:30,1.6,19.8,76.6
STU2026455,Civil Eng,3,9.32,65.7,88.6,7,12:30-13:30,7.1,2.5,56.2
STU2026456,Computer Science,2,8.63,65.8,83.5,18,11:30-12:30,7.1,-42.9,54.5
STU2026457,Civil Eng,1,5.61,35.0,72.1,22,11:30-12:30,5.9,1.4,32.9
STU2026458,Civil Eng,3,6.49,38.8,86.7,3,11:30-12:30,3.6,-12.8,34.4
STU2026459,Mechanical Eng,4,7.51,54.3,92.4,19,14:30-15:30,7.0,-38.6,49.2
STU2026460,Information Tech,4,8.21,53.4,82.3,13,12:30-13:30,4.4,14.7,48.3
STU2026461,Electronics & Comm,1,7.4,67.5,70.7,6,13:30-14:30,2.3,-29.8,78.8
STU2026462,Civil Eng,1,8.46,53.9,76.2,21,13:30-14:30,5.8,-35.7,40.5
STU2026463,Computer Science,3,6.31,35.0,92.9,41,12:30-13:30,3.6,10.5,38.7
STU2026464,Mechanical Eng,1,7.32,42.4,65.3,11,12:30-13:30,5.9,21.6,61.8
STU2026465,Information Tech,3,7.28,75.9,91.7,23,12:30-13:30,1.8,23.7,78.4
STU2026466,Civil Eng,2,6.88,35.8,61.5,6,12:30-13:30,7.3,24.3,30.8
STU2026467,Computer Science,2,5.89,64.5,55.6,26,12:30-13:30,2.0,14.0,82.2
STU2026468,Computer Science,3,5.84,58.1,87.3,20,12:30-13:30,1.5,2.9,77.7
STU2026469,Mechanical Eng,4,9.06,59.5,60.2,25,12:30-13:30,5.9,35.8,38.7
STU2026470,Electronics & Comm,4,8.66,61.4,59.0,12,14:30-15:30,5.2,-39.6,37.3
STU2026471,Computer Science,1,6.59,72.5,82.5,5,12:30-13:30,1.9,4.7,95.7
STU2026472,Civil Eng,3,5.56,35.0,89.2,20,14:30-15:30,4.6,-6.5,43.9
STU2026473,Civil Eng,2,7.1,73.9,58.8,22,14:30-15:30,1.6,-44.8,72.7
STU2026474,Mechanical Eng,2,8.52,93.2,89.0,13,13:30-14:30,1.4,-5.3,76.7
STU2026475,Civil Eng,2,5.59,37.5,71.2,19,13:30-14:30,5.6,-32.4,38.8
STU2026476,Civil Eng,2,7.94,85.8,78.4,19,12:30-13:30,2.8,1.6,83.6
STU2026477,Information Tech,2,7.43,43.9,90.2,38,12:30-13:30,4.3,2.6,45.9
STU2026478,Computer Science,3,8.84,60.9,65.3,31,12:30-13:30,5.5,23.0,53.0
STU2026479,Information Tech,2,8.14,54.5,68.9,41,11:30-12:30,5.0,1.7,33.9
STU2026480,Electronics & Comm,1,6.37,70.0,75.9,18,12:30-13:30,1.2,20.6,86.6
STU2026481,Information Tech,3,5.71,35.0,64.5,44,12:30-13:30,5.5,31.5,30.5
STU2026482,Computer Science,4,8.94,63.7,57.6,24,12:30-13:30,4.4,-2.6,62.8
STU2026483,Information Tech,3,7.77,55.6,86.6,18,12:30-13:30,6.3,24.7,32.7
STU2026484,Information Tech,4,6.31,59.5,77.6,15,13:30-14:30,2.2,-8.5,88.1
STU2026485,Information Tech,3,8.4,89.2,85.2,31,12:30-13:30,3.5,8.8,73.0
STU2026486,Electronics & Comm,4,9.51,62.7,93.8,22,12:30-13:30,4.4,12.7,64.9
STU2026487,Mechanical Eng,2,7.92,56.4,64.2,16,14:30-15:30,5.9,2.9,62.4
STU2026488,Computer Science,1,9.73,72.9,80.6,9,12:30-13:30,4.1,3.8,64.8
STU2026489,Mechanical Eng,1,8.82,61.1,95.6,20,12:30-13:30,6.3,1.3,62.2
STU2026490,Computer Science,4,7.03,67.4,61.0,4,13:30-14:30,3.1,-17.8,86.9
STU2026491,Information Tech,2,8.66,54.9,86.1,33,12:30-13:30,6.1,28.6,36.1
STU2026492,Computer Science,3,5.66,64.3,89.8,43,12:30-13:30,3.2,28.5,92.6
STU2026493,Civil Eng,1,9.24,72.6,64.7,14,13:30-14:30,5.1,-45.1,51.1
STU2026494,Information Tech,1,6.87,64.6,79.3,14,12:30-13:30,2.8,34.8,90.2
STU2026495,Information Tech,1,6.45,59.4,67.5,3,12:30-13:30,3.3,17.5,73.8
STU2026496,Mechanical Eng,1,7.21,46.3,73.7,14,11:30-12:30,5.4,-13.4,56.7
STU2026497,Electronics & Comm,2,6.54,67.7,66.4,15,11:30-12:30,3.5,-25.6,89.9
STU2026498,Mechanical Eng,2,6.88,77.2,80.5,16,12:30-13:30,0.7,20.6,78.8
STU2026499,Civil Eng,1,9.47,64.0,65.0,25,11:30-12:30,5.3,-45.1,35.5
STU2026500,Information Tech,2,9.24,87.2,90.3,15,12:30-13:30,0.6,8.6,90.1
STU2026501,Information Tech,2,6.38,68.5,77.5,37,11:30-12:30,2.3,-12.6,84.0
STU2026502,Civil Eng,1,6.6,63.7,57.6,2,12:30-13:30,1.9,-2.3,90.2
STU2026503,Mechanical Eng,3,9.22,69.1,55.8,24,12:30-13:30,6.6,-0.9,52.7
STU2026504,Mechanical Eng,4,9.23,92.3,77.9,2,14:30-15:30,1.8,-45.9,84.5
STU2026505,Information Tech,3,6.93,68.2,71.9,22,12:30-13:30,1.6,35.8,80.1
STU2026506,Information Tech,3,8.99,58.2,81.9,32,11:30-12:30,6.7,2.3,61.2
STU2026507,Electronics & Comm,2,6.97,71.1,71.9,22,12:30-13:30,1.5,23.1,91.2
STU2026508,Civil Eng,2,7.96,79.7,73.3,22,11:30-12:30,2.7,-40.7,87.6
STU2026509,Information Tech,2,9.21,70.5,68.3,39,14:30-15:30,5.4,-40.3,48.3
STU2026510,Information Tech,2,6.87,45.5,79.0,38,13:30-14:30,7.1,-46.4,34.1
STU2026511,Mechanical Eng,4,9.63,66.9,68.0,6,13:30-14:30,5.7,-6.7,58.8
STU2026512,Computer Science,2,6.29,36.2,87.8,22,12:30-13:30,4.8,4.5,39.3
STU2026513,Computer Science,3,5.84,59.3,88.5,20,12:30-13:30,1.4,29.9,94.5
STU2026514,Civil Eng,4,6.09,54.9,63.3,15,12:30-13:30,0.7,4.1,92.2
STU2026515,Electronics & Comm,2,5.78,35.0,94.9,16,12:30-13:30,7.4,31.4,60.3
STU2026516,Civil Eng,4,8.84,63.1,81.1,20,14:30-15:30,6.3,-16.5,55.2
STU2026517,Information Tech,1,7.74,43.6,74.4,14,12:30-13:30,6.3,35.3,31.5
STU2026518,Computer Science,4,7.72,76.6,82.1,11,12:30-13:30,0.8,13.9,78.4
STU2026519,Civil Eng,3,8.14,49.9,57.3,25,12:30-13:30,4.1,15.5,35.0
STU2026520,Electronics & Comm,2,7.19,78.9,68.9,16,13:30-14:30,0.7,-43.2,83.2
STU2026521,Mechanical Eng,2,8.59,84.6,60.3,14,12:30-13:30,1.3,24.8,83.0
STU2026522,Information Tech,2,7.13,44.3,71.4,19,12:30-13:30,5.9,1.6,61.9
STU2026523,Electronics & Comm,2,8.81,95.8,57.2,7,12:30-13:30,2.7,-0.2,91.2
STU2026524,Electronics & Comm,2,5.52,56.6,87.9,21,13:30-14:30,0.6,-1.2,84.4
STU2026525,Electronics & Comm,2,8.03,82.7,75.5,19,12:30-13:30,3.4,6.4,72.3
STU2026526,Information Tech,2,5.71,35.0,61.4,41,12:30-13:30,5.1,19.7,31.3
STU2026527,Mechanical Eng,1,5.71,60.1,72.9,21,12:30-13:30,1.7,18.5,89.5
STU2026528,Information Tech,2,9.66,100.0,87.2,43,12:30-13:30,3.0,10.5,71.0
STU2026529,Computer Science,4,9.13,58.8,57.8,15,12:30-13:30,3.8,16.5,34.3
STU2026530,Electronics & Comm,1,5.97,35.0,86.4,24,12:30-13:30,4.9,6.8,64.6
STU2026531,Information Tech,3,6.62,38.7,79.7,38,12:30-13:30,4.9,20.9,62.4
STU2026532,Civil Eng,2,9.3,87.9,65.0,5,12:30-13:30,2.5,25.2,75.6
STU2026533,Electronics & Comm,4,7.28,54.0,69.4,11,12:30-13:30,4.4,5.4,52.3
STU2026534,Computer Science,3,6.79,44.5,78.6,33,12:30-13:30,5.9,20.3,34.0
STU2026535,Computer Science,2,6.33,38.0,90.9,19,11:30-12:30,7.0,-22.5,46.8
STU2026536,Civil Eng,3,7.49,48.3,90.0,23,12:30-13:30,7.0,7.9,32.0
STU2026537,Information Tech,1,6.4,40.5,84.5,10,14:30-15:30,6.1,-3.4,61.1
STU2026538,Mechanical Eng,4,8.19,53.9,91.2,11,13:30-14:30,4.5,-10.6,43.6
STU2026539,Mechanical Eng,1,6.67,35.9,58.7,18,12:30-13:30,6.6,7.4,43.0
STU2026540,Computer Science,3,8.88,69.0,88.4,31,12:30-13:30,6.9,1.3,45.5
STU2026541,Mechanical Eng,4,8.65,54.1,77.5,18,13:30-14:30,5.9,-12.1,35.0
STU2026542,Electronics & Comm,2,8.62,66.8,74.8,23,14:30-15:30,5.5,-3.0,48.3
STU2026543,Computer Science,3,7.51,51.7,57.0,24,12:30-13:30,4.1,21.2,53.1
STU2026544,Electronics & Comm,3,6.36,35.4,67.3,7,12:30-13:30,4.2,6.2,57.0
STU2026545,Computer Science,1,6.39,68.2,70.1,9,12:30-13:30,2.7,2.0,74.1
STU2026546,Mechanical Eng,3,7.82,72.4,57.2,4,12:30-13:30,0.7,12.5,96.2
STU2026547,Electronics & Comm,4,8.15,52.4,68.4,16,12:30-13:30,6.2,18.3,55.0
STU2026548,Computer Science,4,5.92,35.0,68.3,6,14:30-15:30,5.0,-2.4,56.8
STU2026549,Information Tech,3,9.43,62.8,71.9,29,13:30-14:30,5.4,-22.2,53.3
STU2026550,Computer Science,4,5.99,36.7,75.6,18,12:30-13:30,6.4,-0.8,39.9
STU2026551,Computer Science,3,7.89,81.2,58.0,22,12:30-13:30,2.6,17.5,83.4
STU2026552,Civil Eng,4,5.78,35.0,64.0,12,12:30-13:30,5.4,17.3,45.1
STU2026553,Electronics & Comm,2,8.35,57.0,58.3,16,12:30-13:30,7.0,8.3,50.1
STU2026554,Computer Science,4,6.26,68.6,96.1,14,13:30-14:30,1.0,-30.6,73.2
STU2026555,Computer Science,1,6.44,35.0,61.0,23,13:30-14:30,4.6,-40.1,56.4
STU2026556,Information Tech,3,7.18,70.1,79.9,44,12:30-13:30,1.9,22.9,89.8
